frame,event,worms_before,worms_after
20,appear,[],[np.int32(1)]
20,appear,[],[np.int32(2)]
30,appear,[],[np.int32(3)]
40,appear,[],[np.int32(1)]
50,merge,"[np.int64(1), np.int64(3)]",[np.int32(1)]
50,disappear,[np.int32(2)],[]
50,disappear,[np.int32(4)],[]
70,split,[np.int32(1)],"[np.int64(1), np.int64(2)]"
80,disappear,[np.int32(1)],[]
80,disappear,[np.int32(2)],[]
110,appear,[],[np.int32(1)]
120,disappear,[np.int32(1)],[]
140,appear,[],[np.int32(1)]
160,appear,[],[np.int32(2)]
180,appear,[],[np.int32(1)]
180,appear,[],[np.int32(2)]
180,appear,[],[np.int32(4)]
190,appear,[],[np.int32(1)]
190,appear,[],[np.int32(3)]
200,appear,[],[np.int32(8)]
200,appear,[],[np.int32(9)]
200,appear,[],[np.int32(10)]
210,appear,[],[np.int32(2)]
220,disappear,[np.int32(2)],[]
300,disappear,[np.int32(1)],[]
300,disappear,[np.int32(2)],[]
300,disappear,[np.int32(3)],[]
470,appear,[],[np.int32(1)]
470,appear,[],[np.int32(2)]
470,appear,[],[np.int32(3)]
470,appear,[],[np.int32(4)]
470,appear,[],[np.int32(5)]
470,appear,[],[np.int32(6)]
480,disappear,[np.int32(3)],[]
480,split,[np.int32(10)],"[np.int64(9), np.int64(10)]"
490,appear,[],[np.int32(3)]
