frame,event,worms_before,worms_after
1,appear,[],[np.int32(1)]
1,appear,[],[np.int32(2)]
1,appear,[],[np.int32(3)]
1,appear,[],[np.int32(4)]
1,appear,[],[np.int32(5)]
1,appear,[],[np.int32(6)]
1,appear,[],[np.int32(7)]
2,appear,[],[np.int32(1)]
2,appear,[],[np.int32(2)]
2,appear,[],[np.int32(3)]
2,appear,[],[np.int32(4)]
2,appear,[],[np.int32(6)]
2,appear,[],[np.int32(7)]
2,appear,[],[np.int32(8)]
2,disappear,[np.int32(1)],[]
2,disappear,[np.int32(2)],[]
2,disappear,[np.int32(3)],[]
2,disappear,[np.int32(5)],[]
2,disappear,[np.int32(6)],[]
2,disappear,[np.int32(7)],[]
3,appear,[],[np.int32(1)]
3,appear,[],[np.int32(2)]
3,appear,[],[np.int32(4)]
3,appear,[],[np.int32(5)]
3,appear,[],[np.int32(6)]
3,disappear,[np.int32(1)],[]
3,disappear,[np.int32(2)],[]
3,disappear,[np.int32(3)],[]
3,disappear,[np.int32(4)],[]
3,disappear,[np.int32(6)],[]
3,disappear,[np.int32(7)],[]
3,disappear,[np.int32(8)],[]
4,appear,[],[np.int32(1)]
4,appear,[],[np.int32(4)]
4,appear,[],[np.int32(5)]
4,disappear,[np.int32(3)],[]
4,disappear,[np.int32(4)],[]
4,disappear,[np.int32(5)],[]
4,disappear,[np.int32(6)],[]
5,appear,[],[np.int32(1)]
5,appear,[],[np.int32(2)]
5,disappear,[np.int32(1)],[]
5,disappear,[np.int32(2)],[]
5,disappear,[np.int32(3)],[]
5,disappear,[np.int32(4)],[]
6,appear,[],[np.int32(1)]
6,appear,[],[np.int32(2)]
6,appear,[],[np.int32(4)]
6,appear,[],[np.int32(5)]
6,appear,[],[np.int32(6)]
6,appear,[],[np.int32(7)]
6,appear,[],[np.int32(8)]
6,disappear,[np.int32(2)],[]
6,disappear,[np.int32(3)],[]
7,appear,[],[np.int32(1)]
7,disappear,[np.int32(4)],[]
7,disappear,[np.int32(5)],[]
7,disappear,[np.int32(8)],[]
8,appear,[],[np.int32(4)]
8,disappear,[np.int32(3)],[]
9,appear,[],[np.int32(3)]
9,disappear,[np.int32(1)],[]
9,disappear,[np.int32(2)],[]
9,disappear,[np.int32(5)],[]
9,disappear,[np.int32(6)],[]
10,appear,[],[np.int32(1)]
10,appear,[],[np.int32(2)]
10,appear,[],[np.int32(3)]
10,appear,[],[np.int32(4)]
10,appear,[],[np.int32(5)]
10,appear,[],[np.int32(6)]
10,appear,[],[np.int32(7)]
10,appear,[],[np.int32(8)]
10,disappear,[np.int32(1)],[]
10,disappear,[np.int32(2)],[]
10,disappear,[np.int32(3)],[]
11,appear,[],[np.int32(1)]
